;created_at;text;Lang;user.screen_name;;
101;2021-09-03 06:09:55;baru tau ba scarlett skarang song joong ki;id;snufikin;;
102;2021-09-03 06:10:18;anjr song joong ki star ambassador scarlett kren bgt??;id;yyoongit;;
103;2021-09-03 06:11:13;Kaya banget scarlett sampe bisa bayar joongki https://t.co/zyVMWSpqK7;id;wintersolsties;;
104;2021-09-03 06:11:29;Damn… bukan pengguna scarlett karna somehow ga terlalu suka tipe marketingnya, yg bikin ambigu + kyk testimoni2 bodong… walaupun affordable jd bikin selalu nunda dan milih nyoba yg lain. Tp sampe bikin joongki jd BA wew;id;putriabyuda;;
105;2021-09-03 06:11:58;Song joongki jadi BA scarlett ya? Widiiiiii couplean kita bang, jodoh jangan jangan ??;id;blessedglee;;
106;2021-09-03 06:12:34;@seojuseyo @Flowerpaths2 scarlett ga bilang2 ya kalo kenal joongki oppa :( @seoscarlettt;id;ouhmiyaa;;
107;2021-09-03 06:18:40; kalo beli scarlett tetiba dapat pc joongki si kek nya ludes terus deh ni produk wkwk;id;rlouiiss;;
108;2021-09-03 06:19:25;Jgn bilang beli scarlett dapet pc song joongki????? https://t.co/h1wfl492Yb;id;ansrnisa;;
109;2021-09-03 06:19:50;Tapi katanya ada rumor brand lokal bakal jadi artis Korea BA nya, tapi gak tau kalo itu Scarlett sama joongki ??;id;Miniminii13;;
110;2021-09-03 06:20:10;apakah harga Scarlett tetep under 100k kalo udah kemasukan song joongki? ?? https://t.co/XOvfVxrK1O;id;ciseukimbap;;
111;2021-09-03 06:21:05;Gila beneran mas joongki pegang produk scarlett?? https://t.co/fPILaJhS2H;id;yunoj214;;
112;2021-09-03 06:22:08;Sudah kuduga scarlett x song joong ki kan ??????;id;anggraenniken;;
113;2021-09-03 06:22:14;So Joong Ki jd BAnya Scarlett Whitening. Jd bangga wkwkwk;id;rizkayuul;;
114;2021-09-03 06:23:33;GILAAA SCARLETT KEREN SIH BA NYA JOONGKI https://t.co/sM3dft97ye;id;iloafuhyunjin;;
115;2021-09-03 06:24:19;Scarlett ba nya joongki ??????;id;manusiaayamm;;
116;2021-09-03 06:24:34;Nanti kalo udh fiks tiap pembelian scarlett dpt pc joongki dong ????;id;huangssii88;;
117;2021-09-03 06:24:50;sumpah scarlett bayar joongki brp ya ??;id;namdosancute;;
118;2021-09-03 06:25:00;Nnti beli scarlett dapet pc / postcard joong ki oppa. Ish daebak betul .;id;klimtaerenoir;;
119;2021-09-03 06:26:12;Pantesan aja waktu itu vcan sama joongki ternyata udah dijadiin BA scarlett?? https://t.co/vDoq5G4KLj;id;cloudoys_;;
120;2021-09-03 06:26:19;Joongki jadi BA scarlett gila bner2????;id;ininisaaa__;;
121;2021-09-03 06:26:39;walaupun BA nya joong ki ku belum mau mencoba scarlett. ttapi ya Allah bisa-bisanya joong ki ??;id;sunnyyraiin_;;
122;2021-09-03 06:26:57;"Gokillllll!!!
Song Joong Ki beneran jadi star ambassador nya scarlett punya feli. Gila gila keren banget gak sih bisa dapetin song joong ki, salah satu artis nomor satu di korea loh. Brand2 korea aja belum tentu bisa dapet dia jadi ambassador. Speechless gue, bener2 ya feli hito!";id;lovelikehwi;;
123;2021-09-03 06:32:16;Ini beneran song joong ki jadi ba scarlett dibayar berapa neh kaget bgtt???;id;jasminejasjuss;;
124;2021-09-03 06:32:31;Wow serius kah joongki ba scarlett;id;yrheartshaker;;
125;2021-09-03 06:32:39;Gila bgt scarlett whitening ngambil joongki jd ba nya ????????????;id;yinuyyy;;
126;2021-09-03 06:32:45;paket scarlett gua baru dtg dan liat ig TERNYATA SONG JOONG KI JD BRAND AMBASSADORNYA ????;id;KeyziaYo;;
127;2021-09-03 06:33:56;Song Joong Ki jadi BA SCARLETT ?! Keren ????;id;kanghokimulu;;
